year,gdp_smooth
808,80991472.33698574
809,81058510.63374361
810,81125604.4194697
811,81192753.74009329
812,81259958.64158183
813,81327219.16994068
814,81394535.37121338
815,81461907.29148151
816,81529334.97686481
817,81596818.47352123
818,81664357.82764691
819,81731953.08547617
820,81799604.2932817
821,81867311.49737445
822,81935074.74410363
823,82002894.07985689
824,82070769.55106029
825,82138701.20417827
826,82206689.08571377
827,82274733.2422082
828,82342833.72024146
829,82410990.56643206
830,82479203.82743709
831,82547473.5499522
832,82615799.78071177
833,82684182.56648885
834,82752621.95409514
835,82821117.99038114
836,82889670.72223613
837,82958280.1965882
838,83026946.46040426
839,83095669.56069012
840,83164449.54449044
841,83233286.45888895
842,83302180.3510082
843,83371131.26800987
844,83440139.25709458
845,83509204.36550206
846,83578326.64051117
847,83647506.12943982
848,83716742.87964521
849,83786036.93852364
850,83855388.35351063
851,83924797.17208107
852,83994263.44174904
853,84063787.210068
854,84133368.52463076
855,84203007.4330695
856,84272703.98305586
857,84342458.22230093
858,84412270.1985553
859,84482139.95960906
860,84552067.55329187
861,84622053.02747296
862,84692096.43006125
863,84762197.80900522
864,84832357.2122931
865,84902574.68795282
866,84972850.2840521
867,85043184.04869838
868,85113576.03003897
869,85184026.276261
870,85254534.83559154
871,85325101.7562975
872,85395727.08668582
873,85466410.87510334
874,85537153.16993703
875,85607954.01961379
876,85678813.47260067
877,85749731.57740486
878,85820708.38257363
879,85891743.93669449
880,85962838.28839515
881,86033991.48634358
882,86105203.57924798
883,86176474.61585693
884,86247804.64495939
885,86319193.71538456
886,86390641.87600222
887,86462149.1757225
888,86533715.66349602
889,86605341.388314
890,86677026.39920811
891,86748770.74525067
892,86820574.47555459
893,86892437.63927342
894,86964360.2856014
895,87036342.46377358
896,87108384.22306558
897,87180485.61279397
898,87252646.68231608
899,87324867.48103006
900,87397148.05837503
901,87469488.46383096
902,87541888.74691878
903,87614348.95720047
904,87686869.14427896
905,87759449.35779831
906,87832089.64744358
907,87904790.06294104
908,87977550.6540581
909,88050371.4706033
910,88123252.5624265
911,88196193.97941877
912,88269195.77151246
913,88342257.98868133
914,88415380.68094039
915,88488563.89834614
916,88561807.6909965
917,88635112.10903077
918,88708477.20262991
919,88781903.02201624
920,88855389.6174538
921,88928937.03924812
922,89002545.33774644
923,89076214.56333767
924,89149944.76645237
925,89223735.99756293
926,89297588.30718344
927,89371501.74586983
928,89445476.36421987
929,89519512.21287324
930,89593609.3425115
931,89667767.80385818
932,89741987.64767876
933,89816268.92478082
934,89890611.68601392
935,89965015.98226972
936,90039481.86448202
937,90114009.38362679
938,90188598.59072213
939,90263249.53682849
940,90337962.27304846
941,90412736.850527
942,90487573.32045138
943,90562471.73405124
944,90637432.14259861
945,90712454.597408
946,90787539.14983636
947,90862685.85128318
948,90937894.75319041
949,91013165.90704273
950,91088499.36436728
951,91163895.17673394
952,91239353.39575523
953,91314874.07308646
954,91390457.2604256
955,91466103.0095135
956,91541811.37213378
957,91617582.40011293
958,91693416.14532037
959,91769312.65966842
960,91845271.99511239
961,91921294.20365055
962,91997379.33732429
963,92073527.44821803
964,92149738.58845928
965,92226012.8102187
966,92302350.1657102
967,92378750.70719083
968,92455214.48696092
969,92531741.5573641
970,92608331.97078735
971,92686083.10997623
972,92764997.61775592
973,92845078.14171739
974,92926327.33422552
975,93008747.85242684
976,93092342.3582576
977,93177113.51845159
978,93263064.00454813
979,93350196.49290004
980,93438513.66468164
981,93528018.20589663
982,93618712.8073862
983,93710600.16483702
984,93803682.97878923
985,93897963.95464444
986,93993445.80267388
987,94090131.23802643
988,94188022.98073664
989,94287123.7557329
990,94387436.29284543
991,94488963.32681452
992,94591707.59729858
993,94695671.8488823
994,94800858.8310848
995,94907271.29836778
996,95014912.01014377
997,95123783.73078421
998,95233889.22962776
999,95345231.28098844
1000,95457812.66416389
1001,95571636.16344361
1002,95686704.56811729
1003,95803020.67248294
1004,95920587.27585529
1005,96039407.182574
1006,96159483.20201209
1007,96280818.14858413
1008,96403414.84175465
1009,96527276.10604648
1010,96652404.77104913
1011,96778803.67142709
1012,96906475.64692833
1013,97035423.54239263
1014,97165650.20776
1015,97297158.4980792
1016,97429951.27351598
1017,97564031.39936176
1018,97699401.746042
1019,97836065.18912466
1020,97974024.60932873
1021,98113282.8925328
1022,98253842.92978343
1023,98395707.61730385
1024,98538879.85650241
1025,98683362.55398118
1026,98829158.6215446
1027,98976270.97620785
1028,99124702.54020576
1029,99274456.2410012
1030,99425535.0112938
1031,99577941.78902858
1032,99730582.18708937
1033,99883456.56358653
1034,100036565.27717948
1035,100189908.68707734
1036,100343487.1530399
1037,100497301.03537838
1038,100651350.69495633
1039,100805636.49319045
1040,100960158.79205146
1041,101114917.95406497
1042,101269914.34231217
1043,101425148.32043095
1044,101580620.25261652
1045,101736330.50362241
1046,101892279.43876125
1047,102048467.42390563
1048,102204894.82548898
1049,102361562.01050648
1050,102518469.34651574
1051,102675617.20163798
1052,102833005.94455856
1053,102990635.94452801
1054,103148507.5713629
1055,103306621.19544668
1056,103464977.18773055
1057,103623575.91973431
1058,103782417.76354726
1059,103941503.09182908
1060,104100832.27781071
1061,104260405.69529514
1062,104420223.71865845
1063,104580286.72285046
1064,104740595.08339587
1065,104901149.17639492
1066,105061949.37852445
1067,105222996.06703861
1068,105384289.6197699
1069,105545830.4151299
1070,105707618.83211038
1071,105869655.25028394
1072,106031940.04980507
1073,106194473.611411
1074,106357256.31642254
1075,106520288.54674503
1076,106683570.68486927
1077,106847103.1138723
1078,107010886.2174184
1079,107174920.37976
1080,107339205.98573844
1081,107503743.42078507
1082,107668533.07092202
1083,107833575.32276314
1084,107998870.56351492
1085,108164419.18097733
1086,108330221.56354491
1087,108496278.10020745
1088,108662589.18055108
1089,108829155.19475907
1090,108995976.5336128
1091,109163053.5884927
1092,109330386.75137912
1093,109497976.41485323
1094,109665822.97209805
1095,109833926.81689923
1096,110002288.34364605
1097,110170907.94733241
1098,110339786.02355763
1099,110508922.96852742
1100,110678319.17905486
1101,110847975.05256125
1102,111017890.98707715
1103,111188067.3812432
1104,111358504.63431114
1105,111529203.14614467
1106,111700163.31722045
1107,111871385.54862906
1108,112042870.24207585
1109,112214617.7998819
1110,112386628.62498513
1111,112558903.12094098
1112,112731441.69192354
1113,112904244.74272648
1114,113077312.6787639
1115,113250645.90607138
1116,113424244.8313069
1117,113598109.86175184
1118,113772241.40531181
1119,113946639.87051776
1120,114121305.6665268
1121,114296239.20312329
1122,114471440.89071967
1123,114646911.14035757
1124,114822650.36370863
1125,114998658.97307557
1126,115174937.38139309
1127,115351486.00222887
1128,115528305.24978457
1129,115705395.53889674
1130,115882757.2850378
1131,116060390.90431711
1132,116238296.81348175
1133,116416475.42991777
1134,116594927.17165093
1135,116773652.45734778
1136,116952651.70631664
1137,117131925.33850855
1138,117311473.77451834
1139,117491297.43558554
1140,117671396.74359535
1141,117851772.12107968
1142,118032423.99121815
1143,118213352.77783906
1144,118394558.90542036
1145,118576042.79909071
1146,118757804.88463041
1147,118939845.58847241
1148,119122165.33770338
1149,119304764.5600646
1150,119487643.68395306
1151,119670803.13842244
1152,119854243.35318407
1153,120037964.758608
1154,120221967.78572395
1155,120406252.86622241
1156,120590820.43245555
1157,120775670.9174383
1158,120960804.75484933
1159,121146222.37903209
1160,121331924.22499585
1161,121517910.72841667
1162,121704182.32563843
